,UniProtId,EnsemblGeneId
498,Q9Y6L7,ENSG00000095587
499,P35398,ENSG00000069667
500,P45452,ENSG00000137745
501,P01009,ENSG00000197249
502,P19367,ENSG00000156515
503,P35558,ENSG00000124253
504,P00480,ENSG00000036473
505,P48449,ENSG00000160285
506,P20231,ENSG00000197253
507,P50607,ENSG00000166402
508,P34913,ENSG00000120915
509,Q16706,ENSG00000112893
510,P50897,ENSG00000131238
511,Q92993,ENSG00000172977
512,Q9UKQ2,ENSG00000042980
513,Q00535,ENSG00000164885
514,P50440,ENSG00000171766
515,P14555,ENSG00000188257
516,Q92930,ENSG00000166128
517,P06744,ENSG00000105220
518,Q9BZX2,ENSG00000143179
519,P12724,ENSG00000169397
520,P14625,ENSG00000166598
521,P10828,ENSG00000151090
522,Q6UWN8,ENSG00000178172
523,P07858,ENSG00000164733
524,P07858,ENSG00000285132
525,P39900,ENSG00000262406
526,P69905,ENSG00000188536
527,P69905,ENSG00000206172
528,P09668,ENSG00000103811
529,P29475,ENSG00000089250
530,Q00169,ENSG00000174238
531,P08581,ENSG00000105976
532,Q13126,ENSG00000099810
533,P23141,ENSG00000198848
534,P23141,ENSG00000262243
535,P49773,ENSG00000169567
536,Q9UJM8,ENSG00000101323
537,P09488,ENSG00000134184
538,P36873,ENSG00000186298
539,P15531,ENSG00000239672
540,Q6UWM7,ENSG00000188501
541,P04053,ENSG00000107447
542,Q9UBQ6,ENSG00000162694
543,P07339,ENSG00000117984
544,Q9NPB1,ENSG00000205309
545,Q9UBX1,ENSG00000174080
546,P13631,ENSG00000172819
547,P17900,ENSG00000196743
548,P04424,ENSG00000126522
549,O60551,ENSG00000152465
550,P02792,ENSG00000087086
551,P22459,ENSG00000182255
552,Q12882,ENSG00000188641
553,Q9UKL6,ENSG00000141179
554,P35030,ENSG00000010438
555,O00408,ENSG00000186642
556,P13501,ENSG00000271503
557,P13501,ENSG00000274233
558,P22894,ENSG00000118113
559,P32929,ENSG00000116761
560,Q93088,ENSG00000145692
561,Q16881,ENSG00000198431
562,P00488,ENSG00000124491
563,Q16665,ENSG00000100644
564,P49913,ENSG00000164047
565,P07900,ENSG00000080824
566,P08311,ENSG00000100448
567,P09871,ENSG00000182326
568,P49789,ENSG00000189283
569,P48736,ENSG00000105851
570,P09848,ENSG00000115850
571,P56817,ENSG00000186318
572,P28838,ENSG00000002549
573,P16118,ENSG00000158571
574,P09466,ENSG00000122133
575,P62837,ENSG00000131508
576,P08238,ENSG00000096384
577,P46926,ENSG00000113552
578,P07098,ENSG00000182333
579,P00751,ENSG00000241253
580,P00751,ENSG00000239754
581,P00751,ENSG00000242335
582,P00751,ENSG00000243570
583,P00751,ENSG00000243649
584,P00751,ENSG00000241534
585,O00519,ENSG00000117480
586,P00325,ENSG00000196616
587,P00338,ENSG00000134333
588,P00338,ENSG00000288299
589,Q8NFW8,ENSG00000111726
590,P08758,ENSG00000164111
591,P09874,ENSG00000143799
592,P62136,ENSG00000172531
593,P07814,ENSG00000136628
594,P04075,ENSG00000149925
595,Q9UL51,ENSG00000099822
596,P0CG47,ENSG00000170315
597,Q96RI1,ENSG00000012504
598,Q13547,ENSG00000116478
599,O60547,ENSG00000112699
600,P60568,ENSG00000109471
601,Q16773,ENSG00000171097
602,P30084,ENSG00000127884
603,Q9BY41,ENSG00000147099
604,P04632,ENSG00000126247
605,P35080,ENSG00000070087
606,Q08462,ENSG00000078295
607,P19021,ENSG00000145730
608,P68133,ENSG00000143632
609,P60953,ENSG00000070831
610,P19634,ENSG00000090020
611,P98170,ENSG00000101966
612,O15382,ENSG00000105552
613,Q9NZK7,ENSG00000188784
